Country,Energy Supply,Energy Supply per Capita,% Renewable
Afghanistan,321,10,78.66928
Albania,102,35,100
Algeria,1959,51,0.55101
American Samoa,...,...,0.641026
Andorra,9,121,88.69565
Angola,642,27,70.90909
Anguilla,2,136,0
Antigua and Barbuda,8,84,0
Argentina,3378,79,24.06452
Armenia,143,48,28.23606
Aruba,12,120,14.87069
Australia1,5386,231,11.81081
Austria,1391,164,72.45282
Azerbaijan,567,60,6.384345
Bahamas,45,118,0
Bahrain,574,425,0
Bangladesh,1625,10,1.966329
Barbados,19,69,0
Belarus,1142,120,0.463389
Belgium,2338,210,9.959739
Belize,13,39,64.69003
Benin,170,16,0
Bermuda,6,88,0
Bhutan,63,83,100
Bolivia (Plurinational State of),336,32,31.47712
"Bonaire, Sint Eustatius and Saba",5,213,0
Bosnia and Herzegovina,266,70,41.46467
Botswana,86,39,0.131406
Brazil,12149,59,69.64803
British Virgin Islands,2,85,0
Brunei Darussalam,127,310,0.045434
Bulgaria,703,97,17.23461
Burkina Faso,164,10,14.50068
Burundi,58,6,86.79245
Cabo Verde,7,15,21.22762
Cambodia,250,17,57.31159
Cameroon,307,14,70.88626
Canada,10431,296,61.94543
Cayman Islands,8,131,0
Central African Republic,23,5,85.63536
Chad,77,6,0
Chile,1613,92,28.00657
China2,127191,93,19.75491
"China, Hong Kong Special Administrative Region3",585,82,0
"China, Macao Special Administrative Region4",47,83,0
Colombia,1513,32,63.00284
Comoros,5,7,11.62791
Congo,102,23,57.74887
Cook Islands,1,48,0
Costa Rica,222,47,88.73642
Côte d'Ivoire,547,25,22.82278
Croatia,321,75,64.28412
Cuba,585,51,0.663532
Curaçao,78,502,0
Cyprus,82,71,6.480186
Czech Republic,1751,166,7.067134
Democratic People's Republic of Korea,612,25,70.18029
Democratic Republic of the Congo,888,12,99.5943
Denmark5,725,129,33.53766
Djibouti,11,13,0
Dominica,2,28,36.63366
Dominican Republic,339,33,11.2506
Ecuador,680,43,47.71486
Egypt,3422,39,8.805713
El Salvador,176,29,56.44505
Equatorial Guinea,73,91,6.363636
Eritrea,34,7,0.550964
Estonia,258,195,4.180791
Ethiopia,1394,15,99.90825
Faeroe Islands,9,179,38.56655
Falkland Islands (Malvinas),1,258,33.33333
Fiji,31,36,62.00466
Finland,1374,252,19.53657
France6,10597,166,17.02028
French Guiana,13,52,62.00466
French Polynesia,12,44,26.8556
Gabon,99,60,37.5
Gambia,14,7,0
Georgia,163,40,82.22487
Germany,13261,165,17.90153
Ghana,316,12,63.10263
Gibraltar,8,245,0
Greece,993,90,24.79528
Greenland7,9,166,78.125
Grenada,5,43,0
Guadeloupe,33,70,14.81481
Guam,...,...,0
Guatemala,452,29,49.52168
Guernsey,0,6,0
Guinea,145,12,48.44221
Guinea-Bissau,29,17,0
Guyana,34,45,0
Haiti,172,16,12.76018
Honduras,217,28,37.76319
Hungary,947,95,3.263634
Iceland,312,957,99.9724
India,33195,26,14.96908
Indonesia8,8754,35,12.18904
Iran (Islamic Republic of),9172,119,5.707721
Iraq,2077,61,7.871554
Ireland,548,117,20.92106
Isle of Man,0,4,0.793651
Israel,997,128,0.872525
Italy9,6530,109,33.66723
Jamaica,108,39,5.615602
Japan10,18984,149,10.23282
Jersey,3,34,0
Jordan,325,45,0.335979
Kazakhstan,3548,208,8.112784
Kenya,873,20,73.7571
Kiribati,1,8,0
Kuwait11,1475,410,0
Kyrgyzstan,167,29,93.47655
Lao People's Democratic Republic,85,13,93.29009
Latvia,183,91,48.83234
Lebanon,289,55,6.610478
Lesotho,48,23,100
Liberia,83,19,0
Libya,707,113,0
Liechtenstein,3,79,96.47059
Lithuania,282,95,41.03318
Luxembourg,168,307,45.53324
Madagascar,166,7,50.81556
Malawi,101,6,89.13565
Malaysia,3417,116,7.754589
Maldives,15,43,0
Mali,66,4,64.76821
Malta,31,75,1.419698
Marshall Islands,1,28,0
Martinique,33,84,2.60771
Mauritania,51,13,0
Mauritius,58,46,3.531856
Mexico,7944,64,12.9134
Micronesia (Federated States of),2,21,2.941176
Mongolia,475,166,0
Montenegro,42,67,65.58152
Montserrat,1,153,0
Morocco,796,23,15.8918
Mozambique,469,18,94.63087
Myanmar,682,13,72.04213
Namibia,63,27,95.79439
Nauru,1,60,0
Nepal,458,16,99.68051
Netherlands12,3199,190,6.324659
New Caledonia,51,200,20.43097
New Zealand,876,196,72.87313
Nicaragua,149,25,40.76387
Niger,87,5,0
Nigeria,5589,32,18.39025
Niue,0,65,0
Northern Mariana Islands,...,...,0
Norway,1388,273,97.63558
Oman,1015,260,0
Pakistan,2868,16,31.87684
Palau,3,152,18.75
Panama,158,42,57.50948
Papua New Guinea,144,20,23.94636
Paraguay,228,35,99.99503
Peru,858,28,51.96861
Philippines,1781,18,26.17264
Poland,4121,107,5.537899
Portugal13,899,86,53.3403
Puerto Rico,56,15,1.080808
Qatar,1396,664,0
Republic of Korea,11007,221,2.279353
Republic of Moldova,93,23,5.082873
Réunion,59,70,28.29719
Romania,1339,68,34.3845
Russian Federation,30709,214,17.28868
Rwanda,95,9,35.83535
Saint Helena,0,40,9.090909
Saint Kitts and Nevis,4,73,0
Saint Lucia,6,33,0
Saint Pierre and Miquelon,1,162,2.12766
Saint Vincent and the Grenadines,3,28,16.66667
Samoa,4,22,31.35593
Sao Tome and Principe,3,14,10.44776
Saudi Arabia14,7985,264,0.000352
Senegal,154,11,1.998237
Serbia15,618,69,27.21619
Seychelles,9,94,1.977401
Sierra Leone,67,11,64.02439
Singapore,1120,207,0
Sint Maarten (Dutch part),12,327,0
Slovakia,711,131,20.21712
Slovenia,287,139,31.86424
Solomon Islands,6,11,0
Somalia,126,12,0
South Africa,6341,119,1.687019
South Sudan,28,2,0.423729
Spain16,4923,106,37.96859
Sri Lanka,388,19,59.57323
State of Palestine,61,14,0
Sudan,608,16,78.41048
Suriname,34,65,22.02381
Swaziland,49,39,40.67797
Sweden,2044,212,46.59846
Switzerland17,1113,136,57.74548
Syrian Arab Republic,542,28,11.56827
Tajikistan,106,13,99.74292
Thailand,5336,79,4.305189
The former Yugoslav Republic of Macedonia,117,56,26.14047
Timor-Leste,7,6,0
Togo,134,19,80.18018
Tonga,3,28,0
Trinidad and Tobago,824,611,0
Tunisia,430,39,3.492547
Turkey,4897,64,28.53669
Turkmenistan,1102,210,0
Turks and Caicos Islands,3,85,0
Tuvalu,...,...,0
Uganda,452,12,68.01818
Ukraine18,4844,107,8.067312
United Arab Emirates,2710,300,0
United Kingdom of Great Britain and Northern Ireland19,7920,124,10.60047
United Republic of Tanzania,994,20,31.07284
United States of America20,90838,286,11.57098
United States Virgin Islands,...,...,0
Uruguay,196,58,71.60504
Uzbekistan,1798,62,21.32841
Vanuatu,3,10,14.70588
Venezuela (Bolivarian Republic of),2871,95,67.83452
Viet Nam,2554,28,45.32152
